,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,avarua,100,CK,1594001152,83,-21.21,-159.78,69.8,8.05
1,vardo,94,NO,1594001152,94,70.37,31.11,48.43,8.23
2,esperance,90,AU,1594001152,47,-33.87,121.9,59.0,19.46
3,kapaa,1,US,1594001152,70,22.08,-159.32,84.2,8.05
4,hilo,90,US,1594001152,61,19.73,-155.09,82.4,9.17
5,vytegra,99,RU,1594001153,91,61.01,36.45,60.89,10.98
6,bac lieu,0,RS,1594001153,93,45.39,19.24,63.0,6.93
7,punta arenas,1,PH,1594001153,62,8.99,125.34,87.3,5.35
8,vila velha,3,PT,1594001153,82,42.03,-8.16,68.0,4.7
9,port alfred,17,CD,1594001153,50,-7.03,29.76,69.17,6.46
10,sungaipenuh,30,ID,1594001153,74,-2.08,101.38,73.94,1.99
11,hobart,75,AU,1594001043,66,-42.88,147.33,55.0,5.82
12,binzhou,0,CN,1594001153,62,37.37,118.02,84.99,1.01
13,varberg,42,SE,1594001153,85,57.11,12.25,57.0,28.01
14,victoria,95,HK,1594000945,70,22.29,114.16,88.0,10.0
15,rikitea,0,PF,1594001153,81,-23.12,-134.97,72.63,8.48
16,zhigansk,35,RU,1594001154,54,66.77,123.37,50.95,5.21
17,hermanus,80,ZA,1594001154,94,-34.42,19.23,53.01,3.0
18,new norfolk,100,LR,1594000898,92,6.65,-10.59,71.64,1.61
19,nokaneng,0,BW,1594001154,46,-19.67,22.27,47.79,4.29
20,bilibino,42,RU,1594001154,54,68.05,166.44,63.84,14.63
21,klyuchi,96,RU,1594001154,77,52.27,79.17,66.11,9.06
22,cockburn town,90,AU,1594001030,66,-32.08,141.0,48.2,10.29
23,busselton,95,AU,1594001155,73,-33.65,115.33,57.0,25.21
24,ushuaia,40,AR,1594001155,86,-54.8,-68.3,33.8,6.93
25,faya,56,SA,1594001155,49,18.39,42.45,71.6,2.75
26,irmo,40,US,1594000872,65,34.09,-81.18,81.0,5.82
27,meulaboh,99,ID,1594001155,83,4.14,96.13,80.53,3.51
28,thompson,90,CA,1594001155,100,55.74,-97.86,62.6,5.82
29,bambous virieux,75,MU,1594001155,94,-20.26,57.41,71.6,9.17
30,cherskiy,62,RU,1594001155,59,68.75,161.3,64.49,9.82
31,shelburne,1,CA,1594001155,53,44.08,-80.2,77.0,2.24
32,bonito,91,BR,1594001155,63,-21.12,-56.48,71.67,0.63
33,castro,56,BR,1594001134,75,-24.79,-50.01,61.03,7.34
34,arraial do cabo,0,BR,1594001156,68,-22.84,-46.65,68.0,5.82
35,yulara,0,AU,1594001156,46,-25.24,130.99,53.6,14.99
36,srandakan,4,ID,1594001156,70,-7.94,110.25,82.35,11.72
37,vaini,20,TO,1594001156,78,-21.2,-175.2,78.8,11.41
38,mahebourg,75,MU,1594001156,94,-20.41,57.7,71.6,9.17
39,chuy,39,UY,1594001156,88,-33.7,-53.46,46.42,7.61
40,chokurdakh,100,RU,1594001156,91,70.63,147.92,40.19,12.03
41,richards bay,1,US,1594001156,64,46.84,-95.91,73.4,9.17
42,lasa,5,IT,1594001156,76,46.62,10.7,62.01,6.93
43,fortuna,1,US,1594001156,63,40.6,-124.16,62.01,16.11
44,anchorage,90,US,1594001110,72,61.22,-149.9,62.6,13.87
45,mar del plata,90,ES,1594001157,100,43.4,-4.01,68.0,3.36
46,caravelas,100,BR,1594001157,79,-17.71,-39.25,72.41,5.77
47,warrnambool,96,AU,1594001157,80,-38.38,142.48,55.99,10.13
48,tiksi,100,RU,1594001157,92,71.69,128.87,34.25,12.19
49,kavaratti,94,IN,1594001157,78,10.57,72.64,82.98,15.26
50,khatanga,5,RU,1594001157,54,71.97,102.5,55.69,17.11
51,jamestown,1,US,1594000951,47,42.1,-79.24,75.2,4.7
52,karpogory,100,RU,1594001157,96,64.0,44.45,59.86,5.75
53,camabatela,2,AO,1594001158,89,-8.19,15.38,54.43,2.15
54,wynyard,4,AU,1594001158,62,-41.0,145.72,55.99,11.01
55,caluquembe,59,AO,1594001158,52,-13.78,14.68,47.66,3.04
56,butaritari,22,KI,1594001158,77,3.07,172.79,83.19,12.39
57,santa maria,100,PH,1594001158,66,17.49,120.43,86.58,2.98
58,gizo,100,SB,1594001158,78,-8.1,156.84,82.76,20.67
59,atambua,25,ID,1594001158,65,-9.11,124.89,79.29,4.59
60,tessalit,0,ML,1594001158,30,20.2,1.01,85.05,6.11
61,qarqin,0,AF,1594001159,20,37.42,66.04,77.11,6.98
62,mataura,100,NZ,1594001159,96,-46.19,168.86,46.08,2.66
63,port elizabeth,17,CD,1594001159,50,-7.03,29.76,69.17,6.46
64,cape town,100,CL,1594001159,100,-36.41,-71.9,42.8,2.24
65,airai,69,TL,1594001159,91,-8.93,125.41,64.45,5.23
66,albany,42,US,1594001159,76,42.6,-73.97,79.0,6.06
67,nikolskoye,75,RU,1594001159,88,59.7,30.79,64.4,15.66
68,yellowknife,20,CA,1594001159,32,62.46,-114.35,69.8,13.87
69,saint-francois,40,FR,1594001159,72,46.42,3.91,66.2,3.36
70,namibe,75,AO,1594001159,65,-15.2,12.15,68.16,3.22
71,narsaq,93,GL,1594001160,75,60.92,-46.05,46.4,2.24
72,qaanaaq,0,GL,1594001160,63,77.48,-69.36,43.09,1.43
